Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1075,"C Flavián, S Ibáñez-Sánchez, C Orús","The impact of virtual, augmented and mixed reality technologies on the customer experience",2019,"Journal of business research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0148296318305319","https://scholar.google.com/scholar?cites=17568932679257549510&as_sdt=2005&sciodt=0,5&hl=en",36,"2023-12-13 12:37:33","HTML","","","",,,,,1075,268.75,358,3,4,"The arrival of Virtual-Reality, Augmented-Reality, and Mixed-Reality technologies is shaping a new environment where physical and virtual objects are integrated at different levels. Due …","https://www.sciencedirect.com/science/article/pii/S0148296318305319","https://scholar.google.com/scholar?q=related:xurlBTBj0fMJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
862,"Z Pan, AD Cheok, H Yang, J Zhu, J Shi","Virtual reality and mixed reality for virtual learning environments",2006,"Computers &graphics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0097849305002025","https://scholar.google.com/scholar?cites=12270356323571182302&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-12-13 12:37:33","HTML","","","",,,,,862,50.71,172,5,17,"… Mixed reality (MR) refers to the incorporation of virtual … reality, and the latter as augmented virtuality. Azuma [1] has defined three characteristics that are integral to an augmented reality …","https://www.sciencedirect.com/science/article/pii/S0097849305002025","https://scholar.google.com/scholar?q=related:3qrtrRAQSaoJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
731,"MK Bekele, R Pierdicca, E Frontoni…","A survey of augmented, virtual, and mixed reality for cultural heritage",2018,"Journal on Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3145534","https://scholar.google.com/scholar?cites=776346905779482982&as_sdt=2005&sciodt=0,5&hl=en",23,"2023-12-13 12:37:33","","10.1145/3145534","","",,,,,731,146.20,183,4,5,"… Mixed reality is an environment where real and virtual content coexist and interact in real time. The aspects of augmented and virtual reality … aspects of a mixed reality experience. It is …","https://dl.acm.org/doi/pdf/10.1145/3145534","https://scholar.google.com/scholar?q=related:ZrF1xWUjxgoJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
625,"R Lindgren, M Johnson-Glenberg","Emboldened by embodiment: Six precepts for research on embodied learning and mixed reality",2013,"Educational researcher","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3102/0013189X13511661","https://scholar.google.com/scholar?cites=13600447383783500746&as_sdt=2005&sciodt=0,5&hl=en",178,"2023-12-13 12:37:33","","10.3102/0013189X13511661","","",,,,,625,62.50,313,2,10,"The authors describe an emerging paradigm of educational research that pairs theories of embodied learning with a class of immersive technologies referred to as mixed reality (MR). …","https://journals.sagepub.com/doi/full/10.3102/0013189X13511661","https://scholar.google.com/scholar?q=related:ymvOWNZ-vrwJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
557,"R Lindgren, M Tscholl, S Wang, E Johnson","Enhancing learning and engagement through embodied interaction within a mixed reality simulation",2016,"Computers &Education","Elsevier","https://www.sciencedirect.com/science/article/pii/S036013151630001X","https://scholar.google.com/scholar?cites=3031115553068229164&as_sdt=2005&sciodt=0,5&hl=en",82,"2023-12-13 12:37:33","HTML","","","",,,,,557,79.57,139,4,7,"… This study investigates the effects of a whole-body, mixed reality simulation game on science learning outcomes by comparing participant performance in the experimental simulation to …","https://www.sciencedirect.com/science/article/pii/S036013151630001X","https://scholar.google.com/scholar?q=related:LCLLNYmvECoJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
499,"M Speicher, BD Hall, M Nebeling","What is mixed reality?",2019,"… of the 2019 CHI conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3290605.3300767","https://scholar.google.com/scholar?cites=17843482105880009741&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-12-13 12:37:33","","10.1145/3290605.3300767","","",,,,,499,124.75,166,3,4,"… To get a better understanding of accepted notions of Mixed Reality and in which ways they potentially differ—and therefore as a foundation for our conceptual framework of Mixed Reality…","https://dl.acm.org/doi/pdf/10.1145/3290605.3300767","https://scholar.google.com/scholar?q=related:DVwEvW_IoPcJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
456,"S Benford, G Giannachi","Performing mixed reality",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=AvsMEAAAQBAJ&oi=fnd&pg=PR9&dq=mixed+reality&ots=JNhHR81e2E&sig=aUp5Ux-m7pI9-oJe3MdmCQcaubs","https://scholar.google.com/scholar?cites=16559597259365852826&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-12-13 12:37:33","BOOK","","","",,,,,456,38.00,228,2,12,"… the general background to our study of mixed reality performance, covering ⚫ the definition of mixed reality performance in relation to the wider fields of mixed reality and performance; …","","https://scholar.google.com/scholar?q=related:mqYIjPiBz-UJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
455,"CE Hughes, CB Stapleton, DE Hughes…","Mixed reality in education, entertainment, and training",2005,"IEEE computer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1528429/","https://scholar.google.com/scholar?cites=9268089809918211254&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-12-13 12:37:33","","","","",,,,,455,25.28,114,4,18,"… To transform technical capabilities of emerging mixed reality (MR) technology into the mainstream involves the integration and evolution of unproven systems. For example, real-world …","https://ieeexplore.ieee.org/iel5/38/32639/01528429.pdf","https://scholar.google.com/scholar?q=related:trSX4pPenoAJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
393,"SE Kirkley, JR Kirkley","Creating next generation blended learning environments using mixed reality, video games and simulations",2005,"TechTrends","Springer","https://link.springer.com/article/10.1007/BF02763646","https://scholar.google.com/scholar?cites=5424241262609412285&as_sdt=2005&sciodt=0,5&hl=en",116,"2023-12-13 12:37:33","","10.1007/BF02763646","","",,,,,393,21.83,197,2,18,"The goal of this article has been to discuss next generation learning environments and next generation training technologies as well as the learning and design challenges faced in …","https://link.springer.com/content/pdf/10.1007/BF02763646.pdf","https://scholar.google.com/scholar?q=related:vbDZgbDGRksJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
351,"AD Kaplan, J Cruit, M Endsley, SM Beers…","The effects of virtual reality, augmented reality, and mixed reality as training enhancement methods: A meta-analysis",2021,"Human …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0018720820904229","https://scholar.google.com/scholar?cites=2909967732783144567&as_sdt=2005&sciodt=0,5&hl=en",14,"2023-12-13 12:37:33","","10.1177/0018720820904229","","",,,,,351,175.50,70,5,2,"… flat panel displays, we are witnessing an increasing use of augmented reality (AR) and virtual reality (VR) displays, and new mixed reality (MR) displays, which include both AR and VR. …","https://journals.sagepub.com/doi/full/10.1177/0018720820904229","https://scholar.google.com/scholar?q=related:d15jPDxIYigJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
